2026-08-06 08:29:19,209 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_3.htm venue=Fairview date=2026-08-07 race=3 stated=9 parsed=9
2026-08-06 08:29:19,209 | INFO | app.scrapers.winning_form_scraper | horse_names=['Frequent Traveller', 'Secret Eruption', 'Witching Hour', 'Lady Limoncello', 'Lady Of Fate', 'Blue Crystal', 'Island Jewel', 'Burning Desire', 'Total Eruption']
2026-08-06 08:29:19,352 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_4.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:19,412 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=9 stated=9
2026-08-06 08:29:19,412 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_4.htm venue=Fairview date=2026-08-07 race=4 stated=9 parsed=9
2026-08-06 08:29:19,413 | INFO | app.scrapers.winning_form_scraper | horse_names=['Home Reef', 'Makhachev', 'Anatolian Silver', 'Global Ally', 'Richardthefearless', 'Wild Fig', 'Hollandia Bakkerij', 'Flight Display', 'Johnny Drama']
2026-08-06 08:29:19,553 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_5.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:19,618 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-06 08:29:19,618 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_5.htm venue=Fairview date=2026-08-07 race=5 stated=10 parsed=10
2026-08-06 08:29:19,618 | INFO | app.scrapers.winning_form_scraper | horse_names=['King Viserys', 'Cheerful Charlie B', 'Green Planet', 'Pedro', 'Lucky Chance', 'Givethatmanabells', 'Umami', 'Star Of Elena', 'Celtic Rush', 'Nautical Landing']
2026-08-06 08:29:19,753 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_6.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:19,833 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=11 stated=11
2026-08-06 08:29:19,833 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_6.htm venue=Fairview date=2026-08-07 race=6 stated=11 parsed=11
2026-08-06 08:29:19,833 | INFO | app.scrapers.winning_form_scraper | horse_names=['Basingstoke', 'Icy Lancaster', 'Japanese Garden', 'Midnight Music', 'Kilmonivaig', 'Queen Of Jazz', 'Power Of Tiger', 'Daffodil Delight', 'Timeline', 'Gutsy Baby', 'Princess Of Ajiaal']
2026-08-06 08:29:19,983 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_7.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:20,075 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-06 08:29:20,076 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_7.htm venue=Fairview date=2026-08-07 race=7 stated=10 parsed=10
2026-08-06 08:29:20,076 | INFO | app.scrapers.winning_form_scraper | horse_names=['Coastal Path', 'Stars In Heaven', 'Forest Spy', 'Masked Vigilante', 'Champonelle', 'Stokesy', 'Aquarius', 'Overture', 'Surge Of Power', 'Astronomical Boy']
2026-08-06 08:29:20,229 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_8.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:20,291 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=11 stated=11
2026-08-06 08:29:20,291 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_8.htm venue=Fairview date=2026-08-07 race=8 stated=11 parsed=11
